DATE,CATEGORY,LAT,LON
2007.04,"diagnosis,investigative techniques,cells,genetic phenomena,physiological phenomena",52.1571485,4.485209
2007.05,"diagnosis,investigative techniques",36.8945335,30.655353
2007.05,"diagnosis,investigative techniques",12.9246021,79.1348129
2007.04,"diagnosis,investigative techniques,therapeutics,biological factors,metabolism,physiological phenomena,chemical phenomena",40.4237054,-86.9211946
2007.04,"diagnosis,investigative techniques,therapeutics,cardiovascular system,heterocyclic compounds,metabolism,physiological phenomena",42.3361258,-71.0721348
2007.06,"diagnosis,therapeutics,surgical procedures,respiratory tract diseases",40.4426883,-79.9606203
2007.06,"diagnosis,investigative techniques,respiratory tract diseases",47.6553351,-122.3035199
2007.06,"diagnosis,inorganic chemicals,metabolism,physiological phenomena",43.0435866,-88.0211208
2007.06,"diagnosis,investigative techniques,heterocyclic compounds,inorganic chemicals,neoplasms,metabolism",47.6553351,-122.3035199
2007.05,"diagnosis,investigative techniques,metabolism",32.2318851,-110.9501094
2007.05,"diagnosis,neoplasms,respiratory tract diseases",36.2822198,59.536874
2007.05,"diagnosis,investigative techniques,neoplasms,genetic phenomena",47.2629925,11.3844742
2007.05,"diagnosis,surgical procedures",39.8876842,32.6543665
2007.05,"diagnosis,investigative techniques,immune system diseases,neoplasms",59.9492405,10.7150818
2007.05,"diagnosis,digestive system,physiological phenomena",33.8724797,130.8541011
2007.05,"diagnosis,investigative techniques,musculoskeletal system",48.150806,11.58043
2007.05,"diagnosis,investigative techniques,musculoskeletal system",56.1681384,10.2030118
2007.05,"diagnosis,investigative techniques,musculoskeletal system",38.253834,140.874074
2007.07,"diagnosis,investigative techniques,cells,biological factors,immune system diseases,neoplasms,genetic phenomena",53.22086,6.577179
2007.07,"diagnosis,investigative techniques,heterocyclic compounds,neoplasms,metabolism,physiological phenomena",34.061138,-118.2057365
2007.1,"diagnosis,investigative techniques,therapeutics,carbohydrates,immune system diseases,metabolism,physiological phenomena",32.7899371,-96.7800535
2007.1,"diagnosis,investigative techniques,carbohydrates,metabolism",42.2820339,-83.7272882
2007.09,"diagnosis,physiological phenomena",34.5905808,135.5050308
2007.09,"diagnosis,investigative techniques,immune system diseases,physiological phenomena",28.0587031,-82.4138539
2007.08,"diagnosis,investigative techniques,therapeutics,surgical procedures,cells,musculoskeletal system,carbohydrates,metabolism,physiological phenomena",40.4431287,-79.9613241
2007.05,"diagnosis,investigative techniques,genetic phenomena",40.845492,14.2578058
2007.05,"diagnosis,investigative techniques,heterocyclic compounds,metabolism",40.8521451,-73.8443938
2007.05,"diagnosis,investigative techniques",38.6351441,-90.2629289
2007.1,"diagnosis,investigative techniques",-37.9105238,145.1362182
2007.06,"diagnosis,investigative techniques,surgical procedures,respiratory tract diseases",37.761929,-122.4603509
2007.06,"diagnosis,respiratory tract diseases",51.5531127,-0.1658438
2007.09,"diagnosis,investigative techniques,digestive system,biological factors,carbohydrates,inorganic chemicals,genetic phenomena,metabolism,physiological phenomena",39.7451768,-104.8377087
2007.1,"diagnosis,investigative techniques,cells,digestive system,biological factors,heterocyclic compounds,genetic phenomena,metabolism,physiological phenomena,chemical phenomena",34.068921,-118.4451811
2007.09,"diagnosis,investigative techniques,cells,genetic phenomena,metabolism,physiological phenomena",37.8022657,-122.2712357
2007.09,"diagnosis,investigative techniques,therapeutics,cells,heterocyclic compounds,immune system diseases,neoplasms,metabolism,physiological phenomena",34.0975263,-118.2899694
2007.09,"diagnosis,investigative techniques,cells,musculoskeletal system,carbohydrates,immune system diseases,neoplasms,genetic phenomena,metabolism",33.5021227,-86.8064447
2007.08,"diagnosis,investigative techniques,therapeutics,carbohydrates,metabolism,physiological phenomena,chemical phenomena",60.4562974,22.2851138
2007.08,"diagnosis,investigative techniques,surgical procedures,biological factors,inorganic chemicals,genetic phenomena,metabolism",40.8410971,-73.9411973
2007.08,"diagnosis,biological factors,metabolism",36.1466249,-95.9994533
2007.08,"diagnosis,investigative techniques,surgical procedures,musculoskeletal system,biological factors,inorganic chemicals,metabolism",43.7167235,10.3988593
2007.08,"diagnosis,investigative techniques,biological factors,immune system diseases,metabolism,physiological phenomena",41.7901061,-87.6045904
2007.08,"diagnosis,investigative techniques,surgical procedures,neoplasms",43.7167235,10.3988593
2007.08,"diagnosis,investigative techniques,carbohydrates,genetic phenomena,metabolism,physiological phenomena,chemical phenomena",51.7548164,-1.2543668
2007.08,"diagnosis,investigative techniques,metabolism,physiological phenomena,chemical phenomena",42.3505352,-71.0636419
2007.08,"diagnosis,investigative techniques,cells,neoplasms,metabolism,physiological phenomena",29.3110199,-94.7777698
2007.08,"diagnosis,investigative techniques,biological factors,genetic phenomena,metabolism,physiological phenomena,chemical phenomena",36.1465114,-96.0000318
2007.09,"diagnosis,investigative techniques,metabolism,physiological phenomena",40.4428588,-79.9584169
2007.06,"diagnosis,investigative techniques,cells,biological factors,heterocyclic compounds,neoplasms,metabolism",48.2203449,16.3515709
2007.06,"diagnosis,investigative techniques,neoplasms,genetic phenomena,physiological phenomena",55.7313701,12.4427248
2007.06,"diagnosis,investigative techniques,cells,neoplasms,genetic phenomena,metabolism",29.706935,-95.396991
2007.06,"diagnosis,investigative techniques,therapeutics,inorganic chemicals",41.5043413,-81.6083838
2007.06,"diagnosis,investigative techniques",32.8174649,-96.8421197
2007.06,"diagnosis,investigative techniques",39.7463895,-105.0023325
2007.06,"diagnosis,investigative techniques,therapeutics",35.9049122,-79.0469134
2007.06,"diagnosis,investigative techniques,therapeutics",34.0223519,-118.285117
2007.06,"diagnosis,investigative techniques",35.9049122,-79.0469134
2007.06,"diagnosis,investigative techniques,genetic phenomena,chemical phenomena",52.197861,0.125505
2007.06,"diagnosis,investigative techniques,cells,metabolism,chemical phenomena",35.6072668,140.1062907
2007.06,"diagnosis,investigative techniques,cells,genetic phenomena,metabolism,physiological phenomena,chemical phenomena",33.7939674,-84.3218135
2007.06,"diagnosis,investigative techniques,cardiovascular system,cells,biological factors,carbohydrates,heterocyclic compounds,inorganic chemicals,metabolism,physiological phenomena,chemical phenomena",29.9572962,-90.0832621
2007.06,"diagnosis,investigative techniques,genetic phenomena,metabolism,physiological phenomena,chemical phenomena",47.806245,13.0307659
2007.06,"diagnosis,investigative techniques,cells,heterocyclic compounds,genetic phenomena,metabolism,chemical phenomena",35.4797914,-97.4976535
2007.06,"diagnosis,investigative techniques,cells,biological factors,metabolism",38.0306511,-84.5039697
2007.06,"diagnosis,investigative techniques,digestive system,biological factors,inorganic chemicals,genetic phenomena,metabolism,physiological phenomena",57.6823672,11.9614318
2007.06,"diagnosis,investigative techniques,cells,heterocyclic compounds,genetic phenomena,metabolism,physiological phenomena,chemical phenomena",51.8193148,5.8568877
2007.06,"diagnosis,investigative techniques,cells,metabolism,physiological phenomena,chemical phenomena",45.3790227,-71.9293882
2007.06,"diagnosis,investigative techniques,cardiovascular system,heterocyclic compounds,genetic phenomena,metabolism,physiological phenomena",52.3558182,4.9557263
2007.06,"diagnosis,investigative techniques,therapeutics,digestive system,carbohydrates,heterocyclic compounds,inorganic chemicals,metabolism,physiological phenomena,chemical phenomena",56.1909939,10.170636
2007.06,"diagnosis,musculoskeletal system,metabolism",51.4347693,6.9893489
2007.06,"diagnosis,investigative techniques,cells,digestive system,carbohydrates,immune system diseases,genetic phenomena,metabolism,physiological phenomena",55.6706459,12.3899578
2007.06,"diagnosis,investigative techniques,cells,biological factors,heterocyclic compounds,immune system diseases,metabolism",36.4721174,139.8237096
2007.09,"diagnosis,investigative techniques,musculoskeletal system,inorganic chemicals,genetic phenomena,metabolism,chemical phenomena",38.6351441,-90.2629289
2007.12,"diagnosis,investigative techniques,inorganic chemicals",-34.4054039,150.87843
2007.06,"diagnosis,investigative techniques,cardiovascular system,cells,musculoskeletal system,metabolism",51.0465619,3.7279181
2007.09,"diagnosis,investigative techniques,therapeutics,genetic phenomena",51.5525657,-0.1656645
2007.07,"diagnosis,metabolism",33.9600001,131.2500569
2007.07,"diagnosis,therapeutics,heterocyclic compounds",35.4797914,-97.4976535
2007.08,"diagnosis,investigative techniques,musculoskeletal system,immune system diseases",50.9411415,34.762646
2007.07,"diagnosis,investigative techniques",52.2042666,0.1149085
2007.07,"diagnosis,investigative techniques,cells,genetic phenomena,metabolism,chemical phenomena",52.6211393,-1.1246325
2007.08,"diagnosis,investigative techniques,physiological phenomena",46.5210895,6.5801606
2007.05,"diagnosis,surgical procedures,neoplasms",45.4733491,-73.6008823
2007.05,"diagnosis,musculoskeletal system,neoplasms,respiratory tract diseases",51.4679288,-0.0943969
2007.05,"diagnosis,neoplasms",52.3558182,4.9557263
2007.05,"diagnosis,investigative techniques,neoplasms,physiological phenomena",51.8235728,5.8611812
2007.05,"diagnosis,investigative techniques,therapeutics,surgical procedures",50.2509594,19.0103174
